Num steps: 2095000   Return: 1264.2   Time: 2:37:10
Num steps: 2100000   Return: 1304.6   Time: 2:37:38
Num steps: 2105000   Return: 1288.7   Time: 2:38:01
Num steps: 2110000   Return: 1304.7   Time: 2:38:23
Num steps: 2115000   Return: 1238.3   Time: 2:38:44
Num steps: 2120000   Return: 1299.5   Time: 2:39:06
Num steps: 2125000   Return: 1251.7   Time: 2:39:27
Num steps: 2130000   Return: 1259.8   Time: 2:39:49
Num steps: 2135000   Return: 1194.0   Time: 2:40:10
Num steps: 2140000   Return: 1262.7   Time: 2:40:32
Num steps: 2145000   Return: 1286.0   Time: 2:40:55
Num steps: 2150000   Return: 1217.8   Time: 2:41:23
Num steps: 2155000   Return: 1174.3   Time: 2:41:45
Num steps: 2160000   Return: 1214.1   Time: 2:42:06
Num steps: 2165000   Return: 1320.7   Time: 2:42:28
Num steps: 2170000   Return: 1295.1   Time: 2:42:49
Num steps: 2175000   Return: 1287.3   Time: 2:43:10
Num steps: 2180000   Return: 1279.0   Time: 2:43:32
Num steps: 2185000   Return: 1244.8   Time: 2:43:53
Num steps: 2190000   Return: 1305.9   Time: 2:44:15
Num steps: 2195000   Return: 1282.9   Time: 2:44:41
Num steps: 2200000   Return: 1301.2   Time: 2:45:06
Num steps: 2205000   Return: 1311.2   Time: 2:45:28
Num steps: 2210000   Return: 1256.5   Time: 2:45:49
Num steps: 2215000   Return: 1365.2   Time: 2:46:11
Num steps: 2220000   Return: 1360.8   Time: 2:46:32
Num steps: 2225000   Return: 1342.2   Time: 2:46:54
Num steps: 2230000   Return: 1366.9   Time: 2:47:15
Num steps: 2235000   Return: 1358.0   Time: 2:47:36
Num steps: 2240000   Return: 1370.2   Time: 2:48:03
Num steps: 2245000   Return: 1256.0   Time: 2:48:25
Num steps: 2250000   Return: 1470.9   Time: 2:48:50
Num steps: 2255000   Return: 1432.6   Time: 2:49:11
Num steps: 2260000   Return: 1389.5   Time: 2:49:33
Num steps: 2265000   Return: 1426.8   Time: 2:49:54
Num steps: 2270000   Return: 1462.6   Time: 2:50:16
Num steps: 2275000   Return: 1435.4   Time: 2:50:37
Num steps: 2280000   Return: 1295.7   Time: 2:50:59
Num steps: 2285000   Return: 1408.7   Time: 2:51:18
Num steps: 2290000   Return: 1359.2   Time: 2:51:38
Num steps: 2295000   Return: 1413.8   Time: 2:51:59
Num steps: 2300000   Return: 1466.4   Time: 2:52:23
Num steps: 2305000   Return: 1452.4   Time: 2:52:44
Num steps: 2310000   Return: 1427.3   Time: 2:53:04
Num steps: 2315000   Return: 1427.2   Time: 2:53:25
Num steps: 2320000   Return: 1466.8   Time: 2:53:45
Num steps: 2325000   Return: 1459.9   Time: 2:54:06
Num steps: 2330000   Return: 1451.0   Time: 2:54:26
Num steps: 2335000   Return: 1482.5   Time: 2:54:51
Num steps: 2340000   Return: 1348.6   Time: 2:55:04
Num steps: 2345000   Return: 1453.0   Time: 2:55:26
Num steps: 2350000   Return: 1427.5   Time: 2:55:51
Num steps: 2355000   Return: 1486.9   Time: 2:56:13
Num steps: 2360000   Return: 1509.0   Time: 2:56:34
Num steps: 2365000   Return: 1497.7   Time: 2:56:56
Num steps: 2370000   Return: 1281.9   Time: 2:57:17
Num steps: 2375000   Return: 1406.4   Time: 2:57:39
Num steps: 2380000   Return: 1518.6   Time: 2:58:05
Num steps: 2385000   Return: 1485.4   Time: 2:58:27
Num steps: 2390000   Return: 1519.6   Time: 2:58:49
Num steps: 2395000   Return: 1450.1   Time: 2:59:10
Num steps: 2400000   Return: 1447.1   Time: 2:59:36
Num steps: 2405000   Return: 1542.5   Time: 2:59:57
Num steps: 2410000   Return: 1531.1   Time: 3:00:18
Num steps: 2415000   Return: 1451.4   Time: 3:00:40
Num steps: 2420000   Return: 1489.9   Time: 3:01:01
Num steps: 2425000   Return: 1524.3   Time: 3:01:27
Num steps: 2430000   Return: 1443.5   Time: 3:01:50
Num steps: 2435000   Return: 1464.8   Time: 3:02:12
Num steps: 2440000   Return: 1482.4   Time: 3:02:33
